date,machine,shift,actual_run,planned,units,good_units,defect_code
2024-01-01,CNC Mill #4,Day,461,480,707,707,DEF-007
2024-01-01,CNC Mill #4,Night,411,480,764,760,DEF-001
2024-01-01,Press #2,Day,466,480,694,676,DEF-011
2024-01-01,Press #2,Night,384,480,665,663,DEF-004
2024-01-01,Assembly Line A,Day,409,480,908,908,NONE
2024-01-01,Assembly Line A,Night,405,480,864,857,DEF-011
2024-01-01,Weld Station B,Day,455,480,792,792,DEF-004
2024-01-01,Weld Station B,Night,469,480,866,856,DEF-007
2024-01-02,CNC Mill #4,Day,399,480,760,750,DEF-001
2024-01-02,CNC Mill #4,Night,391,480,844,841,DEF-007
2024-01-02,Press #2,Day,424,480,785,784,DEF-011
2024-01-02,Press #2,Night,448,480,713,701,DEF-001
2024-01-02,Assembly Line A,Day,450,480,800,789,NONE
2024-01-02,Assembly Line A,Night,404,480,685,684,DEF-004
2024-01-02,Weld Station B,Day,478,480,798,796,DEF-004
2024-01-02,Weld Station B,Night,392,480,844,836,DEF-011
2024-01-03,CNC Mill #4,Day,461,480,836,831,DEF-007
2024-01-03,CNC Mill #4,Night,425,480,757,749,DEF-001
2024-01-03,Press #2,Day,457,480,737,720,DEF-004
2024-01-03,Press #2,Night,400,480,886,874,DEF-007
2024-01-03,Assembly Line A,Day,461,480,762,752,DEF-001
2024-01-03,Assembly Line A,Night,409,480,666,656,DEF-011
2024-01-03,Weld Station B,Day,414,480,683,677,NONE
2024-01-03,Weld Station B,Night,471,480,811,805,DEF-011
2024-01-04,CNC Mill #4,Day,430,480,884,880,DEF-007
2024-01-04,CNC Mill #4,Night,397,480,776,759,NONE
2024-01-04,Press #2,Day,413,480,869,851,DEF-011
2024-01-04,Press #2,Night,426,480,762,758,NONE
2024-01-04,Assembly Line A,Day,443,480,696,695,DEF-001
2024-01-04,Assembly Line A,Night,399,480,731,718,NONE
2024-01-04,Weld Station B,Day,388,480,847,835,NONE
2024-01-04,Weld Station B,Night,439,480,920,912,NONE
2024-01-05,CNC Mill #4,Day,381,480,708,691,DEF-007
2024-01-05,CNC Mill #4,Night,478,480,824,821,DEF-007
2024-01-05,Press #2,Day,435,480,730,716,DEF-001
2024-01-05,Press #2,Night,472,480,784,768,DEF-004
2024-01-05,Assembly Line A,Day,444,480,704,695,NONE
2024-01-05,Assembly Line A,Night,457,480,751,747,DEF-007
2024-01-05,Weld Station B,Day,477,480,732,715,NONE
2024-01-05,Weld Station B,Night,380,480,815,800,DEF-001
2024-01-06,CNC Mill #4,Day,394,480,835,826,DEF-004
2024-01-06,CNC Mill #4,Night,387,480,773,755,DEF-001
2024-01-06,Press #2,Day,390,480,898,896,NONE
2024-01-06,Press #2,Night,478,480,714,710,DEF-011
2024-01-06,Assembly Line A,Day,450,480,734,726,NONE
2024-01-06,Assembly Line A,Night,457,480,866,860,NONE
2024-01-06,Weld Station B,Day,476,480,752,743,DEF-011
2024-01-06,Weld Station B,Night,465,480,841,827,NONE
2024-01-07,CNC Mill #4,Day,437,480,711,704,DEF-004
2024-01-07,CNC Mill #4,Night,388,480,823,823,NONE
2024-01-07,Press #2,Day,450,480,767,749,DEF-004
2024-01-07,Press #2,Night,380,480,686,685,DEF-004
2024-01-07,Assembly Line A,Day,388,480,666,656,DEF-001
2024-01-07,Assembly Line A,Night,445,480,771,763,DEF-011
2024-01-07,Weld Station B,Day,407,480,717,699,NONE
2024-01-07,Weld Station B,Night,440,480,774,759,DEF-011
2024-01-08,CNC Mill #4,Day,404,480,698,695,DEF-011
2024-01-08,CNC Mill #4,Night,425,480,866,853,DEF-011
